AMDPROFILER POWER PROFILE REPORT

PROFILE DETAILS
CPU Details:,Family(0x17) Model(0x8)
Sampling Interval:,1000 milli-seconds
Profile Start Time:,Mar-09-2021_15-22-28,
Profile Duration:,7501 seconds

PROFILED COUNTERS
COUNTER ID,NAME,CATEGORY,UNIT,DESCRIPTION
0.,thread0-core-effective-frequency,Frequency,MHz,Thread0-Average CPU Core Frequency (Core Effective Frequency) for the sampling period in MHz. The core can go into various P-States within the sampling period with its own frequency.
2.,thread1-core-effective-frequency,Frequency,MHz,Thread1-Average CPU Core Frequency (Core Effective Frequency) for the sampling period in MHz. The core can go into various P-States within the sampling period with its own frequency.
4.,thread2-core-effective-frequency,Frequency,MHz,Thread2-Average CPU Core Frequency (Core Effective Frequency) for the sampling period in MHz. The core can go into various P-States within the sampling period with its own frequency.
6.,thread3-core-effective-frequency,Frequency,MHz,Thread3-Average CPU Core Frequency (Core Effective Frequency) for the sampling period in MHz. The core can go into various P-States within the sampling period with its own frequency.
8.,thread4-core-effective-frequency,Frequency,MHz,Thread4-Average CPU Core Frequency (Core Effective Frequency) for the sampling period in MHz. The core can go into various P-States within the sampling period with its own frequency.
10.,thread5-core-effective-frequency,Frequency,MHz,Thread5-Average CPU Core Frequency (Core Effective Frequency) for the sampling period in MHz. The core can go into various P-States within the sampling period with its own frequency.
12.,thread6-core-effective-frequency,Frequency,MHz,Thread6-Average CPU Core Frequency (Core Effective Frequency) for the sampling period in MHz. The core can go into various P-States within the sampling period with its own frequency.
14.,thread7-core-effective-frequency,Frequency,MHz,Thread7-Average CPU Core Frequency (Core Effective Frequency) for the sampling period in MHz. The core can go into various P-States within the sampling period with its own frequency.
16.,thread8-core-effective-frequency,Frequency,MHz,Thread8-Average CPU Core Frequency (Core Effective Frequency) for the sampling period in MHz. The core can go into various P-States within the sampling period with its own frequency.
18.,thread9-core-effective-frequency,Frequency,MHz,Thread9-Average CPU Core Frequency (Core Effective Frequency) for the sampling period in MHz. The core can go into various P-States within the sampling period with its own frequency.
20.,thread10-core-effective-frequency,Frequency,MHz,Thread10-Average CPU Core Frequency (Core Effective Frequency) for the sampling period in MHz. The core can go into various P-States within the sampling period with its own frequency.
22.,thread11-core-effective-frequency,Frequency,MHz,Thread11-Average CPU Core Frequency (Core Effective Frequency) for the sampling period in MHz. The core can go into various P-States within the sampling period with its own frequency.
24.,thread12-core-effective-frequency,Frequency,MHz,Thread12-Average CPU Core Frequency (Core Effective Frequency) for the sampling period in MHz. The core can go into various P-States within the sampling period with its own frequency.
26.,thread13-core-effective-frequency,Frequency,MHz,Thread13-Average CPU Core Frequency (Core Effective Frequency) for the sampling period in MHz. The core can go into various P-States within the sampling period with its own frequency.
28.,thread14-core-effective-frequency,Frequency,MHz,Thread14-Average CPU Core Frequency (Core Effective Frequency) for the sampling period in MHz. The core can go into various P-States within the sampling period with its own frequency.
30.,thread15-core-effective-frequency,Frequency,MHz,Thread15-Average CPU Core Frequency (Core Effective Frequency) for the sampling period in MHz. The core can go into various P-States within the sampling period with its own frequency.
48.,socket0-package-energy,Energy,mJ,Socket0-Package level Running Average Power Limit energy reporting in milli joules, shared with all the cores in package.
50.,core0-energy,Energy,mJ,Core0-Core-level Running Average Power Limit energy reporting in milli joules.
52.,core1-energy,Energy,mJ,Core1-Core-level Running Average Power Limit energy reporting in milli joules.
54.,core2-energy,Energy,mJ,Core2-Core-level Running Average Power Limit energy reporting in milli joules.
56.,core3-energy,Energy,mJ,Core3-Core-level Running Average Power Limit energy reporting in milli joules.
58.,core4-energy,Energy,mJ,Core4-Core-level Running Average Power Limit energy reporting in milli joules.
60.,core5-energy,Energy,mJ,Core5-Core-level Running Average Power Limit energy reporting in milli joules.
62.,core6-energy,Energy,mJ,Core6-Core-level Running Average Power Limit energy reporting in milli joules.
64.,core7-energy,Energy,mJ,Core7-Core-level Running Average Power Limit energy reporting in milli joules.

PROFILE RECORDS
RecordId,Timestamp,thread0-core-effective-frequency,thread1-core-effective-frequency,thread2-core-effective-frequency,thread3-core-effective-frequency,thread4-core-effective-frequency,thread5-core-effective-frequency,thread6-core-effective-frequency,thread7-core-effective-frequency,thread8-core-effective-frequency,thread9-core-effective-frequency,thread10-core-effective-frequency,thread11-core-effective-frequency,thread12-core-effective-frequency,thread13-core-effective-frequency,thread14-core-effective-frequency,thread15-core-effective-frequency,socket0-package-energy,core0-energy,core1-energy,core2-energy,core3-energy,core4-energy,core5-energy,core6-energy,core7-energy
1,15:22:29:552, 3803.23, 3551.03, 3926.13, 3879.80, 3878.78, 3540.57, 3814.58, 3853.07, 3979.08, 3914.65, 4047.37, 3974.18, 3972.13, 3801.78, 4020.22, 3946.80,32938.32,  883.35, 1315.95,  706.13,  617.40, 1683.82, 3217.25, 3250.53, 3114.33
2,15:22:30:552, 3728.80, 3694.08, 3976.64, 3876.72, 3707.32, 3592.11, 3233.28, 3435.45, 4003.11, 3924.44, 4005.48, 3989.80, 3915.15, 3854.97, 4017.16, 3938.33,29858.49,  627.93, 1551.04,  481.48,  188.57, 1928.79, 2960.91, 1140.87, 1802.58
3,15:22:31:562, 3920.66, 4014.00, 3881.66, 3999.85, 3845.36, 3683.50, 3323.10, 3084.29, 3943.67, 3701.13, 3944.67, 3865.39, 3995.17, 3906.75, 3980.07, 3917.43,30631.67, 3471.95, 1619.09,  879.04,  217.32,  974.72, 1209.21, 2004.62, 1061.66
4,15:22:32:564, 3060.26, 2485.53, 3080.93, 2608.34, 2758.87, 2468.84, 3430.90, 2597.26, 3305.19, 2619.92, 2918.44, 2631.75, 3845.65, 3995.06, 3958.71, 3372.31,17324.60,   99.69,   76.49,   60.81,  106.09,   91.28,  105.82,  638.66,  645.07
5,15:22:33:564, 2778.26, 2593.09, 2755.31, 2513.57, 2845.86, 2492.00, 3446.37, 2543.78, 3116.45, 2939.93, 3151.70, 2458.66, 2792.55, 3988.63, 2607.50, 2561.24,14327.73,   56.06,   47.84,   59.19,  177.76,   61.69,   65.22,  420.97,   39.57
6,15:22:34:564, 2767.02, 2485.17, 2797.30, 2493.52, 2587.05, 2456.21, 3467.86, 2539.83, 2989.17, 2452.10, 2618.66, 2460.61, 2854.95, 3979.11, 2559.19, 2566.72,14178.27,   44.56,   38.02,   34.58,  156.34,   42.68,   32.29,  466.00,   33.80
7,15:22:35:564, 2788.44, 2440.30, 2767.46, 2468.77, 2544.19, 2431.78, 2787.99, 2467.93, 2506.71, 2447.17, 3612.48, 2471.08, 3390.01, 4039.64, 2471.42, 2538.13,15172.10,   42.88,   44.04,   37.95,   73.32,   37.84,  164.18,  582.50,   38.68
8,15:22:36:564, 2811.16, 2465.86, 2743.91, 2477.33, 2668.42, 2455.93, 2815.69, 2468.62, 2961.71, 2482.72, 2859.06, 2469.85, 2578.25, 2662.84, 3990.26, 2656.48,14925.26,   42.76,   39.37,   35.80,   71.72,   45.14,   41.11,  186.43,  393.04
9,15:22:37:567, 2833.95, 2463.84, 2769.13, 2494.37, 2542.29, 2436.10, 2796.99, 2533.19, 2957.65, 2495.14, 2586.46, 2464.17, 2701.74, 3999.86, 2818.85, 2692.37,15824.57,   51.25,   43.03,   41.00,   78.13,   49.70,   45.93,  343.48,  324.86
10,15:22:38:567, 2858.75, 2440.52, 2841.73, 3764.93, 2587.02, 2439.20, 2789.68, 2458.06, 2985.98, 2451.17, 3104.66, 2451.19, 2829.44, 4016.59, 2672.28, 2738.39,15249.08,   46.14,  120.36,   37.96,   75.65,   47.76,   64.13,  513.35,   43.91
11,15:22:39:567, 2813.55, 2773.76, 3943.09, 3025.08, 2898.69, 2782.95, 2958.12, 3022.18, 3430.10, 3467.20, 3503.25, 2895.23, 3603.24, 4042.66, 3701.13, 3921.18,18398.83,   72.11,  615.13,   72.65,   96.28,  261.11,  217.94,  538.02,  706.33
12,15:22:40:567, 2898.75, 2562.07, 2779.13, 2588.38, 2643.99, 2535.43, 2819.41, 2643.72, 3162.94, 2538.88, 2812.31, 2544.89, 3758.72, 2821.21, 3938.42, 3172.95,15656.75,   50.72,   41.60,   39.34,   76.29,   57.11,   50.87,  357.03,  419.22
13,15:22:41:567, 2852.05, 2491.46, 2782.35, 2470.11, 2527.84, 2428.44, 2822.65, 2515.14, 2941.33, 2459.31, 2590.75, 2444.99, 2742.98, 4010.38, 2821.74, 3019.05,15068.77,   49.67,   43.01,   38.35,   73.10,   46.39,   38.15,  324.60,  320.13
14,15:22:42:569, 2800.45, 2699.42, 2769.51, 2678.38, 2752.35, 2681.70, 2782.94, 2719.55, 2897.66, 2650.57, 2751.96, 2682.48, 2799.17, 3903.07, 2659.29, 2708.38,12931.63,   41.89,   38.48,   36.35,   53.91,   40.15,   38.01,  317.06,   33.25
