        Date        , GPU Clock [MHz] , Memory Clock [MHz] , GPU Temperature [°C] , Fan 1 Speed (%) [%] , Fan 1 Speed (RPM) [RPM] , Fan 2 Speed (%) [%] , Fan 2 Speed (RPM) [RPM] , Memory Used [MB] , GPU Load [%] , Memory Controller Load [%] , Video Engine Load [%] , Bus Interface Load [%] , Power Consumption (W) [W] , Power Consumption (%) [% TDP] , PerfCap Reason [] , VDDC [V] , CPU Temperature [°C] , System Memory Used [MB] ,
2021-03-09 15:22:31 ,        1365.0   ,           1750.2   ,               39.0   ,                32   ,                  1199   ,                32   ,                  1198   ,            297   ,          2   ,                        1   ,                   0   ,                    0   ,                    35.6   ,                        22.2   ,              16   , 0.7250   ,               44.5   ,                  2537   ,
2021-03-09 15:22:32 ,        1365.0   ,           1750.2   ,               39.0   ,                32   ,                  1198   ,                32   ,                  1200   ,            297   ,          0   ,                        0   ,                   0   ,                    0   ,                    35.6   ,                        22.2   ,              16   , 0.7250   ,               43.8   ,                  2536   ,
2021-03-09 15:22:33 ,         420.0   ,            101.3   ,               39.0   ,                32   ,                  1208   ,                32   ,                  1202   ,            297   ,          0   ,                        0   ,                   0   ,                    0   ,                     9.7   ,                         6.0   ,              16   , 0.7180   ,               42.1   ,                  2534   ,
2021-03-09 15:22:34 ,         315.0   ,            101.3   ,               39.0   ,                32   ,                  1199   ,                32   ,                  1200   ,            297   ,          0   ,                        2   ,                   0   ,                    0   ,                     9.6   ,                         6.0   ,              16   , 0.7180   ,               40.6   ,                  2534   ,
2021-03-09 15:22:35 ,         300.0   ,            101.3   ,               38.0   ,                32   ,                  1197   ,                32   ,                  1200   ,            297   ,          0   ,                        3   ,                   0   ,                    0   ,                     9.7   ,                         6.1   ,              16   , 0.7180   ,               39.1   ,                  2533   ,
2021-03-09 15:22:36 ,         300.0   ,            101.3   ,               39.0   ,                32   ,                  1200   ,                32   ,                  1200   ,            297   ,          0   ,                        3   ,                   0   ,                    0   ,                     9.9   ,                         6.2   ,              16   , 0.7180   ,               37.8   ,                  2527   ,
2021-03-09 15:22:37 ,         300.0   ,            101.3   ,               38.0   ,                32   ,                  1199   ,                32   ,                  1200   ,            297   ,          0   ,                        3   ,                   0   ,                    0   ,                     9.7   ,                         6.1   ,              16   , 0.7180   ,               37.5   ,                  2526   ,
2021-03-09 15:22:38 ,         300.0   ,            101.3   ,               38.0   ,                32   ,                  1201   ,                32   ,                  1200   ,            297   ,          0   ,                        3   ,                   0   ,                    0   ,                     9.7   ,                         6.0   ,              16   , 0.7180   ,               37.3   ,                  2524   ,
2021-03-09 15:22:39 ,         300.0   ,            101.3   ,               38.0   ,                32   ,                  1198   ,                32   ,                  1200   ,            297   ,          0   ,                        3   ,                   0   ,                    0   ,                     9.6   ,                         6.0   ,              16   , 0.7180   ,               37.1   ,                  2520   ,
2021-03-09 15:22:40 ,         300.0   ,            101.3   ,               39.0   ,                32   ,                  1200   ,                32   ,                  1200   ,            297   ,          0   ,                        3   ,                   0   ,                    0   ,                     9.7   ,                         6.0   ,              16   , 0.7180   ,               36.9   ,                  2520   ,
2021-03-09 15:22:41 ,         300.0   ,            101.3   ,               38.0   ,                32   ,                  1201   ,                32   ,                  1202   ,            297   ,          0   ,                        3   ,                   0   ,                    0   ,                     9.6   ,                         6.0   ,              16   , 0.7180   ,               36.8   ,                  2519   ,
2021-03-09 15:22:42 ,         300.0   ,            101.3   ,               38.0   ,                32   ,                  1200   ,                32   ,                  1200   ,            297   ,          0   ,                        3   ,                   0   ,                    0   ,                     9.6   ,                         6.0   ,              16   , 0.7180   ,               36.4   ,                  2518   ,
2021-03-09 15:22:43 ,         300.0   ,            101.3   ,               38.0   ,                32   ,                  1201   ,                32   ,                  1199   ,            297   ,          0   ,                        3   ,                   0   ,                    0   ,                     9.9   ,                         6.2   ,              16   , 0.7180   ,               36.3   ,                  2517   ,
2021-03-09 15:22:44 ,         300.0   ,            101.3   ,               38.0   ,                32   ,                  1198   ,                32   ,                  1200   ,            297   ,          0   ,                        3   ,                   0   ,                    0   ,                     9.7   ,                         6.1   ,              16   , 0.7180   ,               36.4   ,                  2516   ,
2021-03-09 15:22:45 ,         300.0   ,            101.3   ,               38.0   ,                32   ,                  1201   ,                32   ,                  1198   ,            297   ,          0   ,                        3   ,                   0   ,                    0   ,                     9.7   ,                         6.1   ,              16   , 0.7180   ,               36.5   ,                  2515   ,
2021-03-09 15:22:46 ,         300.0   ,            101.3   ,               38.0   ,                32   ,                  1199   ,                32   ,                  1200   ,            297   ,          0   ,                        3   ,                   0   ,                    0   ,                     9.8   ,                         6.1   ,              16   , 0.7180   ,               36.3   ,                  2514   ,
2021-03-09 15:22:47 ,         300.0   ,            101.3   ,               38.0   ,                32   ,                  1200   ,                32   ,                  1201   ,            297   ,          0   ,                        3   ,                   0   ,                    0   ,                     9.7   ,                         6.4   ,              16   , 0.7180   ,               36.1   ,                  2514   ,
2021-03-09 15:22:48 ,         300.0   ,            101.3   ,               38.0   ,                32   ,                  1201   ,                32   ,                  1200   ,            297   ,          0   ,                        3   ,                   0   ,                    0   ,                     9.6   ,                         6.0   ,              16   , 0.7180   ,               36.0   ,                  2514   ,
2021-03-09 15:22:49 ,         300.0   ,            101.3   ,               38.0   ,                32   ,                  1200   ,                32   ,                  1197   ,            297   ,          0   ,                        3   ,                   0   ,                    0   ,                     9.9   ,                         6.2   ,              16   , 0.7180   ,               36.0   ,                  2514   ,
2021-03-09 15:22:50 ,         300.0   ,            101.3   ,               38.0   ,                32   ,                  1198   ,                32   ,                  1202   ,            297   ,          0   ,                        3   ,                   0   ,                    0   ,                     9.6   ,                         6.0   ,              16   , 0.7180   ,               35.9   ,                  2513   ,
2021-03-09 15:22:51 ,         300.0   ,            101.3   ,               38.0   ,                32   ,                  1199   ,                32   ,                  1200   ,            297   ,          0   ,                        3   ,                   0   ,                    0   ,                     9.6   ,                         6.0   ,              16   , 0.7180   ,               35.9   ,                  2513   ,
2021-03-09 15:22:52 ,         300.0   ,            101.3   ,               38.0   ,                32   ,                  1200   ,                32   ,                  1198   ,            297   ,          0   ,                        3   ,                   0   ,                    0   ,                     9.6   ,                         6.0   ,              16   , 0.7180   ,               36.0   ,                  2513   ,
2021-03-09 15:22:53 ,         300.0   ,            101.3   ,               38.0   ,                32   ,                  1199   ,                32   ,                  1201   ,            297   ,          0   ,                        3   ,                   0   ,                    0   ,                     9.6   ,                         6.0   ,              16   , 0.7180   ,               36.0   ,                  2513   ,
2021-03-09 15:22:54 ,         300.0   ,            101.3   ,               38.0   ,                32   ,                  1203   ,                32   ,                  1199   ,            297   ,          0   ,                        3   ,                   0   ,                    0   ,                     9.6   ,                         6.0   ,              16   , 0.7180   ,               36.3   ,                  2513   ,
2021-03-09 15:22:55 ,         300.0   ,            101.3   ,               38.0   ,                32   ,                  1201   ,                32   ,                  1201   ,            297   ,          0   ,                        3   ,                   0   ,                    0   ,                     9.7   ,                         6.0   ,              16   , 0.7180   ,               36.4   ,                  2513   ,
2021-03-09 15:22:56 ,         300.0   ,            101.3   ,               38.0   ,                32   ,                  1197   ,                32   ,                  1201   ,            297   ,          0   ,                        3   ,                   0   ,                    0   ,                     9.7   ,                         6.0   ,              16   , 0.7180   ,               35.9   ,                  2513   ,
2021-03-09 15:22:57 ,         300.0   ,            101.3   ,               38.0   ,                32   ,                  1200   ,                32   ,                  1200   ,            297   ,          0   ,                        3   ,                   0   ,                    0   ,                     9.7   ,                         6.1   ,              16   , 0.7180   ,               35.8   ,                  2513   ,
2021-03-09 15:22:58 ,         300.0   ,            101.3   ,               38.0   ,                32   ,                  1198   ,                32   ,                  1198   ,            297   ,          0   ,                        3   ,                   0   ,                    0   ,                     9.6   ,                         6.0   ,              16   , 0.7180   ,               35.9   ,                  2512   ,
2021-03-09 15:22:59 ,         300.0   ,            101.3   ,               38.0   ,                32   ,                  1201   ,                32   ,                  1201   ,            297   ,          0   ,                        3   ,                   0   ,                    0   ,                     9.6   ,                         6.0   ,              16   , 0.7180   ,               36.0   ,                  2513   ,
2021-03-09 15:23:00 ,         300.0   ,            101.3   ,               38.0   ,                32   ,                  1201   ,                32   ,                  1199   ,            297   ,          0   ,                        3   ,                   0   ,                    0   ,                     9.6   ,                         6.0   ,              16   , 0.7180   ,               36.0   ,                  2512   ,
2021-03-09 15:23:01 ,         300.0   ,            101.3   ,               38.0   ,                32   ,                  1197   ,                32   ,                  1199   ,            297   ,          0   ,                        3   ,                   0   ,                    0   ,                     9.6   ,                         6.0   ,              16   , 0.7180   ,               36.1   ,                  2512   ,
2021-03-09 15:23:02 ,         300.0   ,            101.3   ,               38.0   ,                32   ,                  1205   ,                32   ,                  1200   ,            297   ,          0   ,                        3   ,                   0   ,                    0   ,                     9.6   ,                         6.0   ,              16   , 0.7180   ,               36.0   ,                  2512   ,
2021-03-09 15:23:03 ,         300.0   ,            101.3   ,               38.0   ,                32   ,                  1198   ,                32   ,                  1202   ,            297   ,          0   ,                        3   ,                   0   ,                    0   ,                     9.7   ,                         6.1   ,              16   , 0.7180   ,               36.0   ,                  2512   ,
2021-03-09 15:23:04 ,         300.0   ,            101.3   ,               38.0   ,                32   ,                  1196   ,                32   ,                  1201   ,            297   ,          0   ,                        3   ,                   0   ,                    0   ,                     9.6   ,                         6.0   ,              16   , 0.7180   ,               36.0   ,                  2512   ,
