AMDPROFILER POWER PROFILE REPORT

PROFILE DETAILS
CPU Details:,Family(0x17) Model(0x8)
Sampling Interval:,1000 milli-seconds
Profile Start Time:,Mar-09-2021_12-23-41,
Profile Duration:,7501 seconds

PROFILED COUNTERS
COUNTER ID,NAME,CATEGORY,UNIT,DESCRIPTION
0.,thread0-core-effective-frequency,Frequency,MHz,Thread0-Average CPU Core Frequency (Core Effective Frequency) for the sampling period in MHz. The core can go into various P-States within the sampling period with its own frequency.
2.,thread1-core-effective-frequency,Frequency,MHz,Thread1-Average CPU Core Frequency (Core Effective Frequency) for the sampling period in MHz. The core can go into various P-States within the sampling period with its own frequency.
4.,thread2-core-effective-frequency,Frequency,MHz,Thread2-Average CPU Core Frequency (Core Effective Frequency) for the sampling period in MHz. The core can go into various P-States within the sampling period with its own frequency.
6.,thread3-core-effective-frequency,Frequency,MHz,Thread3-Average CPU Core Frequency (Core Effective Frequency) for the sampling period in MHz. The core can go into various P-States within the sampling period with its own frequency.
8.,thread4-core-effective-frequency,Frequency,MHz,Thread4-Average CPU Core Frequency (Core Effective Frequency) for the sampling period in MHz. The core can go into various P-States within the sampling period with its own frequency.
10.,thread5-core-effective-frequency,Frequency,MHz,Thread5-Average CPU Core Frequency (Core Effective Frequency) for the sampling period in MHz. The core can go into various P-States within the sampling period with its own frequency.
12.,thread6-core-effective-frequency,Frequency,MHz,Thread6-Average CPU Core Frequency (Core Effective Frequency) for the sampling period in MHz. The core can go into various P-States within the sampling period with its own frequency.
14.,thread7-core-effective-frequency,Frequency,MHz,Thread7-Average CPU Core Frequency (Core Effective Frequency) for the sampling period in MHz. The core can go into various P-States within the sampling period with its own frequency.
16.,thread8-core-effective-frequency,Frequency,MHz,Thread8-Average CPU Core Frequency (Core Effective Frequency) for the sampling period in MHz. The core can go into various P-States within the sampling period with its own frequency.
18.,thread9-core-effective-frequency,Frequency,MHz,Thread9-Average CPU Core Frequency (Core Effective Frequency) for the sampling period in MHz. The core can go into various P-States within the sampling period with its own frequency.
20.,thread10-core-effective-frequency,Frequency,MHz,Thread10-Average CPU Core Frequency (Core Effective Frequency) for the sampling period in MHz. The core can go into various P-States within the sampling period with its own frequency.
22.,thread11-core-effective-frequency,Frequency,MHz,Thread11-Average CPU Core Frequency (Core Effective Frequency) for the sampling period in MHz. The core can go into various P-States within the sampling period with its own frequency.
24.,thread12-core-effective-frequency,Frequency,MHz,Thread12-Average CPU Core Frequency (Core Effective Frequency) for the sampling period in MHz. The core can go into various P-States within the sampling period with its own frequency.
26.,thread13-core-effective-frequency,Frequency,MHz,Thread13-Average CPU Core Frequency (Core Effective Frequency) for the sampling period in MHz. The core can go into various P-States within the sampling period with its own frequency.
28.,thread14-core-effective-frequency,Frequency,MHz,Thread14-Average CPU Core Frequency (Core Effective Frequency) for the sampling period in MHz. The core can go into various P-States within the sampling period with its own frequency.
30.,thread15-core-effective-frequency,Frequency,MHz,Thread15-Average CPU Core Frequency (Core Effective Frequency) for the sampling period in MHz. The core can go into various P-States within the sampling period with its own frequency.
48.,socket0-package-energy,Energy,mJ,Socket0-Package level Running Average Power Limit energy reporting in milli joules, shared with all the cores in package.
50.,core0-energy,Energy,mJ,Core0-Core-level Running Average Power Limit energy reporting in milli joules.
52.,core1-energy,Energy,mJ,Core1-Core-level Running Average Power Limit energy reporting in milli joules.
54.,core2-energy,Energy,mJ,Core2-Core-level Running Average Power Limit energy reporting in milli joules.
56.,core3-energy,Energy,mJ,Core3-Core-level Running Average Power Limit energy reporting in milli joules.
58.,core4-energy,Energy,mJ,Core4-Core-level Running Average Power Limit energy reporting in milli joules.
60.,core5-energy,Energy,mJ,Core5-Core-level Running Average Power Limit energy reporting in milli joules.
62.,core6-energy,Energy,mJ,Core6-Core-level Running Average Power Limit energy reporting in milli joules.
64.,core7-energy,Energy,mJ,Core7-Core-level Running Average Power Limit energy reporting in milli joules.

PROFILE RECORDS
RecordId,Timestamp,thread0-core-effective-frequency,thread1-core-effective-frequency,thread2-core-effective-frequency,thread3-core-effective-frequency,thread4-core-effective-frequency,thread5-core-effective-frequency,thread6-core-effective-frequency,thread7-core-effective-frequency,thread8-core-effective-frequency,thread9-core-effective-frequency,thread10-core-effective-frequency,thread11-core-effective-frequency,thread12-core-effective-frequency,thread13-core-effective-frequency,thread14-core-effective-frequency,thread15-core-effective-frequency,socket0-package-energy,core0-energy,core1-energy,core2-energy,core3-energy,core4-energy,core5-energy,core6-energy,core7-energy
1,12:23:43:036, 4196.73, 4156.69, 4193.82, 4171.52, 4170.61, 3982.64, 4176.79, 4046.91, 3939.40, 3674.01, 4118.06, 3788.25, 3888.67, 3943.86, 4012.65, 3692.85,40331.57, 4604.69, 4284.18, 3183.53, 2584.93,  632.42, 1372.99,  830.73,  858.75
2,12:23:44:036, 4099.32, 4085.17, 4155.81, 4170.89, 4107.37, 4003.94, 4175.46, 4019.73, 4041.05, 3743.58, 4114.00, 3855.63, 3888.65, 4101.84, 3811.13, 3581.39,34847.64, 1507.93, 2740.14, 1870.42, 2731.63,  911.16, 1709.50,  836.78,  364.41
3,12:23:45:036, 3692.43, 4093.37, 3452.54, 2710.51, 3047.35, 4058.07, 4138.82, 3991.59, 2764.73, 2558.39, 2971.66, 2637.02, 2770.78, 3409.04, 2943.08, 2757.85,18010.19,  481.90,  184.84,  287.83,  802.51,   67.25,  105.42,  102.40,   85.30
4,12:23:46:038, 2810.51, 2607.53, 3097.99, 3526.18, 2653.29, 2646.65, 3930.02, 2724.22, 2759.07, 2518.48, 3079.69, 2583.32, 2712.75, 2624.11, 2724.11, 2907.16,15236.37,   71.93,  147.32,   96.21,  331.70,   65.49,  184.54,   62.47,   67.06
5,12:23:47:040, 2727.33, 2485.54, 2696.34, 2496.39, 2493.04, 2422.98, 3928.53, 2733.55, 2570.69, 2415.87, 2787.94, 2416.91, 2417.33, 2521.64, 3465.37, 2462.57,13451.74,   76.28,   49.27,   33.83,  271.73,   39.58,   49.33,   33.28,  163.44
6,12:23:48:040, 2681.31, 2531.35, 2673.85, 2485.78, 2736.32, 4107.59, 2651.08, 2620.19, 2593.73, 2455.69, 2828.35, 2454.38, 2463.84, 2544.75, 3472.45, 2498.87,13353.61,   58.61,   45.52,  241.07,   38.04,   38.25,   50.37,   31.63,  149.26
7,12:23:49:040, 2662.99, 2528.43, 3574.29, 2507.23, 2753.96, 4070.66, 2655.16, 2592.86, 2543.60, 2461.63, 2806.11, 2462.69, 2461.86, 2605.73, 3476.15, 2496.03,13841.95,   83.22,  120.74,  244.32,   40.19,   32.59,   50.54,   34.59,  164.18
8,12:23:50:040, 2707.01, 2578.20, 2652.41, 2515.42, 2642.90, 4135.34, 2543.81, 2516.80, 2664.60, 2462.05, 2852.88, 2477.62, 2576.59, 2608.76, 3493.20, 2496.54,14071.47,  140.12,   47.10,  250.82,   40.42,   40.89,   58.36,   41.84,  183.69
9,12:23:51:042, 2710.91, 2505.87, 2741.15, 2451.62, 2461.67, 2428.14, 4093.51, 2634.97, 2507.72, 2419.45, 2783.27, 2439.85, 2537.74, 2654.73, 3490.15, 2466.62,14155.32,  101.00,   55.28,   37.16,  257.98,   36.82,   50.23,   39.51,  198.20
10,12:23:52:044, 2857.05, 2586.73, 3023.12, 2540.79, 2860.44, 4143.18, 2940.05, 2682.09, 2627.28, 2511.32, 2942.31, 3707.15, 2586.99, 2590.29, 3502.22, 2533.39,14682.97,   83.31,   83.66,  267.78,   53.79,   43.50,  247.07,   45.14,  197.13
11,12:23:53:044, 2792.33, 2498.20, 2590.58, 2505.52, 2673.64, 4123.69, 2519.86, 2622.00, 2571.03, 2444.13, 2809.28, 2443.93, 2574.35, 2649.64, 3402.76, 2468.39,13366.62,   43.67,   50.11,  245.56,   34.79,   33.39,   46.26,   32.75,  161.71
12,12:23:54:044, 2792.40, 2505.69, 3324.97, 2588.28, 2751.04, 4139.04, 2811.09, 2598.82, 2582.17, 2458.09, 2835.30, 2459.28, 2457.21, 2555.03, 3513.16, 2534.36,13627.06,   43.08,  116.59,  239.40,   35.71,   32.90,   55.30,   30.69,  182.36
13,12:23:55:044, 2760.90, 2477.42, 2578.63, 2458.80, 2758.91, 4131.31, 2522.41, 2587.66, 2480.75, 2418.97, 2800.84, 2417.27, 2447.89, 2506.23, 3509.43, 2464.17,13731.35,   57.07,   59.51,  242.52,   35.06,   31.19,   49.85,   31.65,  177.08
14,12:23:56:046, 2856.48, 2510.84, 2670.63, 2527.38, 2702.37, 4135.17, 2672.65, 2631.13, 2541.52, 2464.87, 2846.06, 2480.12, 2492.04, 2535.94, 3539.29, 2510.14,14317.03,   62.64,   74.58,  249.79,   48.03,   38.36,   62.01,   39.69,  237.47
15,12:23:57:048, 2846.74, 2507.05, 3094.35, 2498.42, 2711.30, 4143.56, 2587.17, 2618.96, 2536.92, 2451.62, 2793.43, 2450.80, 2451.55, 2530.44, 3535.54, 2481.44,14048.72,   62.87,   69.92,  269.42,   50.96,   37.38,   56.66,   38.33,  192.08
16,12:23:58:048, 2811.47, 2583.61, 2722.04, 2477.04, 2579.70, 2443.67, 3913.12, 2672.94, 2519.08, 2441.76, 2803.39, 2442.19, 2445.89, 2530.39, 3498.60, 2484.90,13886.61,   49.24,   48.75,   35.98,  278.50,   35.57,   48.75,   33.26,  186.55
17,12:23:59:048, 2869.82, 2472.10, 3603.19, 2467.32, 2586.46, 2439.92, 3909.57, 2665.87, 2505.54, 2437.31, 2815.51, 2438.07, 2439.41, 2520.34, 3537.41, 2508.38,14698.09,   52.43,   97.15,   40.28,  285.19,   38.39,   57.08,   38.38,  260.33
18,12:24:0:048, 2791.54, 2528.59, 2649.71, 2468.27, 2531.84, 2516.53, 3928.44, 2710.47, 3576.46, 2493.31, 3044.39, 2816.02, 2593.56, 2553.76, 3586.69, 2485.63,15059.10,   50.80,   50.58,   40.59,  307.39,  129.27,   86.88,   44.74,  212.02
19,12:24:1:051, 2863.01, 2847.57, 3434.00, 2505.78, 2752.17, 4102.92, 2602.17, 2838.59, 2575.33, 2495.79, 2785.50, 2432.58, 2511.91, 2466.28, 3500.34, 2597.03,14728.82,   76.16,   97.64,  254.38,  104.11,   58.07,   59.16,   43.70,  314.76
