        Date        , GPU Clock [MHz] , Memory Clock [MHz] , GPU Temperature [°C] , Fan 1 Speed (%) [%] , Fan 1 Speed (RPM) [RPM] , Fan 2 Speed (%) [%] , Fan 2 Speed (RPM) [RPM] , Memory Used [MB] , GPU Load [%] , Memory Controller Load [%] , Video Engine Load [%] , Bus Interface Load [%] , Power Consumption (W) [W] , Power Consumption (%) [% TDP] , PerfCap Reason [] , VDDC [V] , CPU Temperature [°C] , System Memory Used [MB] ,
2021-03-09 12:23:44 ,        1365.0   ,           1750.2   ,               36.0   ,                32   ,                  1199   ,                32   ,                  1198   ,            289   ,          3   ,                        1   ,                   0   ,                    0   ,                    33.4   ,                        20.9   ,              16   , 0.7180   ,               50.9   ,                  2567   ,
2021-03-09 12:23:45 ,        1365.0   ,           1750.2   ,               36.0   ,                32   ,                  1203   ,                32   ,                  1202   ,            289   ,          0   ,                        0   ,                   0   ,                    0   ,                    33.4   ,                        20.9   ,              16   , 0.7180   ,               49.4   ,                  2566   ,
2021-03-09 12:23:46 ,         420.0   ,            101.3   ,               35.0   ,                32   ,                  1202   ,                32   ,                  1202   ,            289   ,          0   ,                        0   ,                   0   ,                    0   ,                     9.6   ,                         6.4   ,              16   , 0.7180   ,               47.8   ,                  2566   ,
2021-03-09 12:23:47 ,         315.0   ,            101.3   ,               35.0   ,                32   ,                  1198   ,                32   ,                  1201   ,            289   ,          0   ,                        1   ,                   0   ,                    0   ,                     9.6   ,                         6.0   ,              16   , 0.7180   ,               46.1   ,                  2566   ,
2021-03-09 12:23:48 ,         300.0   ,            101.3   ,               35.0   ,                32   ,                  1201   ,                32   ,                  1199   ,            289   ,          0   ,                        3   ,                   0   ,                    0   ,                    10.2   ,                         6.4   ,              16   , 0.7180   ,               44.5   ,                  2561   ,
2021-03-09 12:23:49 ,         300.0   ,            101.3   ,               34.0   ,                32   ,                  1201   ,                32   ,                  1201   ,            289   ,          0   ,                        3   ,                   0   ,                    0   ,                     9.6   ,                         6.0   ,              16   , 0.7180   ,               43.0   ,                  2561   ,
2021-03-09 12:23:50 ,         300.0   ,            101.3   ,               35.0   ,                32   ,                  1200   ,                32   ,                  1201   ,            289   ,          0   ,                        3   ,                   0   ,                    0   ,                     9.7   ,                         6.0   ,              16   , 0.7180   ,               41.5   ,                  2560   ,
2021-03-09 12:23:51 ,         300.0   ,            101.3   ,               35.0   ,                32   ,                  1199   ,                32   ,                  1201   ,            289   ,          0   ,                        3   ,                   0   ,                    0   ,                     9.6   ,                         6.0   ,              16   , 0.7180   ,               39.9   ,                  2558   ,
2021-03-09 12:23:52 ,         300.0   ,            101.3   ,               35.0   ,                32   ,                  1200   ,                32   ,                  1201   ,            289   ,          0   ,                        3   ,                   0   ,                    0   ,                     9.7   ,                         6.1   ,              16   , 0.7180   ,               38.3   ,                  2560   ,
2021-03-09 12:23:53 ,         300.0   ,            101.3   ,               35.0   ,                32   ,                  1198   ,                32   ,                  1202   ,            289   ,          0   ,                        3   ,                   0   ,                    0   ,                     9.8   ,                         6.1   ,              16   , 0.7180   ,               36.8   ,                  2560   ,
