AMDPROFILER POWER PROFILE REPORT

PROFILE DETAILS
CPU Details:,Family(0x17) Model(0x8)
Sampling Interval:,1000 milli-seconds
Profile Start Time:,Mar-31-2021_14-57-35,
Profile Duration:,7501 seconds

PROFILED COUNTERS
COUNTER ID,NAME,CATEGORY,UNIT,DESCRIPTION
0.,thread0-core-effective-frequency,Frequency,MHz,Thread0-Average CPU Core Frequency (Core Effective Frequency) for the sampling period in MHz. The core can go into various P-States within the sampling period with its own frequency.
2.,thread1-core-effective-frequency,Frequency,MHz,Thread1-Average CPU Core Frequency (Core Effective Frequency) for the sampling period in MHz. The core can go into various P-States within the sampling period with its own frequency.
4.,thread2-core-effective-frequency,Frequency,MHz,Thread2-Average CPU Core Frequency (Core Effective Frequency) for the sampling period in MHz. The core can go into various P-States within the sampling period with its own frequency.
6.,thread3-core-effective-frequency,Frequency,MHz,Thread3-Average CPU Core Frequency (Core Effective Frequency) for the sampling period in MHz. The core can go into various P-States within the sampling period with its own frequency.
8.,thread4-core-effective-frequency,Frequency,MHz,Thread4-Average CPU Core Frequency (Core Effective Frequency) for the sampling period in MHz. The core can go into various P-States within the sampling period with its own frequency.
10.,thread5-core-effective-frequency,Frequency,MHz,Thread5-Average CPU Core Frequency (Core Effective Frequency) for the sampling period in MHz. The core can go into various P-States within the sampling period with its own frequency.
12.,thread6-core-effective-frequency,Frequency,MHz,Thread6-Average CPU Core Frequency (Core Effective Frequency) for the sampling period in MHz. The core can go into various P-States within the sampling period with its own frequency.
14.,thread7-core-effective-frequency,Frequency,MHz,Thread7-Average CPU Core Frequency (Core Effective Frequency) for the sampling period in MHz. The core can go into various P-States within the sampling period with its own frequency.
16.,thread8-core-effective-frequency,Frequency,MHz,Thread8-Average CPU Core Frequency (Core Effective Frequency) for the sampling period in MHz. The core can go into various P-States within the sampling period with its own frequency.
18.,thread9-core-effective-frequency,Frequency,MHz,Thread9-Average CPU Core Frequency (Core Effective Frequency) for the sampling period in MHz. The core can go into various P-States within the sampling period with its own frequency.
20.,thread10-core-effective-frequency,Frequency,MHz,Thread10-Average CPU Core Frequency (Core Effective Frequency) for the sampling period in MHz. The core can go into various P-States within the sampling period with its own frequency.
22.,thread11-core-effective-frequency,Frequency,MHz,Thread11-Average CPU Core Frequency (Core Effective Frequency) for the sampling period in MHz. The core can go into various P-States within the sampling period with its own frequency.
24.,thread12-core-effective-frequency,Frequency,MHz,Thread12-Average CPU Core Frequency (Core Effective Frequency) for the sampling period in MHz. The core can go into various P-States within the sampling period with its own frequency.
26.,thread13-core-effective-frequency,Frequency,MHz,Thread13-Average CPU Core Frequency (Core Effective Frequency) for the sampling period in MHz. The core can go into various P-States within the sampling period with its own frequency.
28.,thread14-core-effective-frequency,Frequency,MHz,Thread14-Average CPU Core Frequency (Core Effective Frequency) for the sampling period in MHz. The core can go into various P-States within the sampling period with its own frequency.
30.,thread15-core-effective-frequency,Frequency,MHz,Thread15-Average CPU Core Frequency (Core Effective Frequency) for the sampling period in MHz. The core can go into various P-States within the sampling period with its own frequency.
48.,socket0-package-energy,Energy,mJ,Socket0-Package level Running Average Power Limit energy reporting in milli joules, shared with all the cores in package.
50.,core0-energy,Energy,mJ,Core0-Core-level Running Average Power Limit energy reporting in milli joules.
52.,core1-energy,Energy,mJ,Core1-Core-level Running Average Power Limit energy reporting in milli joules.
54.,core2-energy,Energy,mJ,Core2-Core-level Running Average Power Limit energy reporting in milli joules.
56.,core3-energy,Energy,mJ,Core3-Core-level Running Average Power Limit energy reporting in milli joules.
58.,core4-energy,Energy,mJ,Core4-Core-level Running Average Power Limit energy reporting in milli joules.
60.,core5-energy,Energy,mJ,Core5-Core-level Running Average Power Limit energy reporting in milli joules.
62.,core6-energy,Energy,mJ,Core6-Core-level Running Average Power Limit energy reporting in milli joules.
64.,core7-energy,Energy,mJ,Core7-Core-level Running Average Power Limit energy reporting in milli joules.

PROFILE RECORDS
RecordId,Timestamp,thread0-core-effective-frequency,thread1-core-effective-frequency,thread2-core-effective-frequency,thread3-core-effective-frequency,thread4-core-effective-frequency,thread5-core-effective-frequency,thread6-core-effective-frequency,thread7-core-effective-frequency,thread8-core-effective-frequency,thread9-core-effective-frequency,thread10-core-effective-frequency,thread11-core-effective-frequency,thread12-core-effective-frequency,thread13-core-effective-frequency,thread14-core-effective-frequency,thread15-core-effective-frequency,socket0-package-energy,core0-energy,core1-energy,core2-energy,core3-energy,core4-energy,core5-energy,core6-energy,core7-energy
1,14:57:37:307, 4143.22, 4116.46, 4140.95, 3660.63, 4101.35, 4150.44, 4155.79, 4078.63, 4062.08, 4093.80, 4140.94, 4138.40, 3952.38, 4007.41, 4110.76, 4134.13,40465.80, 1567.03, 6874.66, 1583.28, 1765.06, 1410.54, 1679.95, 1087.68, 1879.96
2,14:57:38:312, 4132.30, 4107.33, 4190.23, 3598.26, 4107.96, 4094.71, 4097.26, 4072.80, 3874.91, 4051.80, 4101.50, 4112.42, 3991.30, 4018.04, 4102.34, 4141.88,39864.43, 1446.35, 9677.11, 1229.60,  927.67,  805.16, 1116.32,  901.82, 1753.65
3,14:57:39:321, 4179.75, 4156.40, 4197.93, 4173.59, 4099.61, 4084.32, 4127.73, 4098.25, 3446.74, 3651.14, 4153.46, 4127.49, 3740.08, 3863.67, 4107.11, 4140.50,42344.56, 5897.28, 4404.45, 1957.18, 1820.92,  330.83, 2474.59,  600.04, 1715.85
4,14:57:40:321, 4011.43, 3663.51, 4143.86, 3964.78, 3934.92, 4085.13, 4006.40, 4008.62, 3603.17, 3508.00, 3626.06, 4020.13, 3773.24, 3498.53, 3743.78, 4096.64,27160.28,  843.38, 1957.66,  793.03,  724.61,  383.00,  633.58,  554.70, 1577.88
5,14:57:41:324, 3055.09, 2875.31, 2958.27, 2552.21, 2722.89, 2544.65, 4274.34, 2818.84, 2735.16, 2601.01, 2715.06, 2559.66, 2790.22, 2601.16, 2953.74, 3612.97,20631.61,  144.24,   87.89,   61.61, 2909.00,  103.91,   80.11,   78.90,  296.28
6,14:57:42:324, 3123.84, 2612.55, 3213.32, 2493.29, 2688.71, 3095.36, 2707.01, 2469.14, 3398.11, 2543.36, 2767.74, 2538.21, 2488.56, 2512.45, 2654.61, 2869.26,13200.39,   44.78,   60.59,   44.25,   27.01,   55.83,   43.09,   22.69,  117.29
7,14:57:43:324, 3048.67, 2512.70, 2685.21, 2470.29, 2537.17, 2456.39, 2497.65, 2469.92, 2575.60, 2543.07, 2705.23, 2474.56, 2587.58, 2463.48, 2560.59, 3436.75,12376.68,   36.41,   27.10,   18.63,   18.86,   24.20,   33.95,   22.69,   60.18
8,14:57:44:324, 3000.45, 2450.41, 2660.04, 2445.22, 2518.28, 2436.64, 2801.63, 2431.15, 2637.80, 2517.97, 2703.47, 2461.79, 2473.30, 2443.93, 2565.43, 3371.81,12550.34,   28.72,   26.18,   18.78,   19.35,   26.81,   31.98,   19.90,   78.34
9,14:57:45:324, 3083.20, 2546.55, 3335.62, 2629.29, 2616.44, 2512.43, 2695.50, 2508.33, 2829.49, 2547.46, 2716.50, 2548.24, 2649.98, 2506.07, 2692.98, 3449.92,13631.55,   41.85,   67.95,   29.24,   32.29,   38.80,   45.70,   30.72,  210.97
10,14:57:46:328, 2832.32, 2898.96, 2713.33, 2491.46, 2595.94, 2461.03, 2771.02, 2476.74, 2691.10, 2511.93, 2747.44, 3239.46, 2520.81, 2477.92, 2755.51, 3407.08,13744.93,   68.13,   35.74,   24.05,   30.55,   32.29,   65.25,   33.39,  185.64
11,14:57:47:328, 3161.77, 2637.37, 3195.00, 2675.31, 2761.50, 3704.09, 3418.98, 2590.70, 2780.78, 3177.36, 2977.39, 2580.66, 3061.86, 3416.81, 2587.09, 2851.40,14216.86,   62.13,   73.10,  140.90,   92.09,   74.60,   56.99,  197.05,   79.33
12,14:57:48:328, 3037.13, 2490.91, 2801.48, 2496.70, 2600.80, 2563.92, 3439.65, 2522.96, 2724.11, 2516.04, 2767.27, 2493.49, 2603.71, 2476.81, 2535.42, 2835.10,12739.43,   34.21,   31.28,   23.64,   67.26,   33.75,   30.33,   25.74,   36.35
13,14:57:49:328, 3056.10, 2554.27, 2824.24, 2542.66, 2864.73, 3490.74, 2651.94, 2504.51, 2526.69, 2557.71, 2839.16, 2540.84, 2479.94, 2497.12, 2733.19, 3523.02,14112.38,   42.48,   35.40,   80.25,   32.73,   31.68,   48.69,   30.06,  228.88
14,14:57:50:328, 2903.28, 2474.08, 3313.42, 2542.78, 2661.18, 2453.87, 2569.67, 2442.78, 2664.61, 2493.68, 2735.74, 2496.60, 2556.72, 2476.19, 2739.48, 3657.08,14740.92,   71.91,   73.36,   35.49,   33.08,   39.41,   48.37,   35.95,  300.67
