        Date        , GPU Clock [MHz] , Memory Clock [MHz] , VCE Clock [MHz] , GPU Temperature [°C] , GPU Temperature (Hot Spot) [°C] , Memory Temperature [°C] , GPU VRM Temperature [°C] , SOC VRM Temperature [°C] , Mem VRM Temperature [°C] , Fan Speed (%) [%] , Fan Speed (RPM) [RPM] , GPU Load [%] , Memory Used (Dedicated) [MB] , Memory Used (Dynamic) [MB] , GPU Chip Power Draw [W] , VDDC [V] , CPU Temperature [°C] , System Memory Used [MB] ,
2021-03-31 14:57:40 ,          26.0   ,            200.0   ,          33.0   ,               33.0   ,                          33.0   ,                  37.0   ,                   33.0   ,                   33.0   ,                   36.0   ,              26   ,                   0   ,          4   ,                        221   ,                       69   ,                   6.0   , 0.7813   ,               49.9   ,                  2691   ,
2021-03-31 14:57:41 ,          26.0   ,            167.0   ,          33.0   ,               33.0   ,                          33.0   ,                  37.0   ,                   33.0   ,                   33.0   ,                   36.0   ,              26   ,                   0   ,          0   ,                        221   ,                       69   ,                   5.0   , 0.7813   ,               48.4   ,                  2690   ,
2021-03-31 14:57:42 ,          26.0   ,            167.0   ,          33.0   ,               33.0   ,                          33.0   ,                  37.0   ,                   33.0   ,                   33.0   ,                   36.0   ,              26   ,                   0   ,          0   ,                        221   ,                       69   ,                   4.0   , 0.7813   ,               46.8   ,                  2689   ,
2021-03-31 14:57:43 ,          26.0   ,            167.0   ,          33.0   ,               31.0   ,                          33.0   ,                  36.0   ,                   33.0   ,                   33.0   ,                   36.0   ,              26   ,                   0   ,          0   ,                        221   ,                       69   ,                   4.0   , 0.7813   ,               45.1   ,                  2690   ,
2021-03-31 14:57:44 ,          26.0   ,            167.0   ,          33.0   ,               33.0   ,                          33.0   ,                  37.0   ,                   33.0   ,                   33.0   ,                   36.0   ,              26   ,                   0   ,          0   ,                        221   ,                       69   ,                   4.0   , 0.7813   ,               43.5   ,                  2690   ,
2021-03-31 14:57:45 ,          26.0   ,            167.0   ,          33.0   ,               33.0   ,                          33.0   ,                  37.0   ,                   33.0   ,                   33.0   ,                   36.0   ,              26   ,                   0   ,          0   ,                        221   ,                       69   ,                   4.0   , 0.7813   ,               42.0   ,                  2690   ,
2021-03-31 14:57:46 ,          26.0   ,            167.0   ,          33.0   ,               34.0   ,                          33.0   ,                  37.0   ,                   33.0   ,                   33.0   ,                   36.0   ,              26   ,                   0   ,          0   ,                        221   ,                       69   ,                   5.0   , 0.7813   ,               40.4   ,                  2689   ,
2021-03-31 14:57:47 ,          26.0   ,            167.0   ,          33.0   ,               33.0   ,                          33.0   ,                  37.0   ,                   33.0   ,                   32.0   ,                   36.0   ,              26   ,                   0   ,          0   ,                        221   ,                       69   ,                   4.0   , 0.7813   ,               38.9   ,                  2683   ,
2021-03-31 14:57:48 ,          26.0   ,            167.0   ,          33.0   ,               33.0   ,                          33.0   ,                  36.0   ,                   32.0   ,                   32.0   ,                   36.0   ,              26   ,                   0   ,          0   ,                        221   ,                       69   ,                   4.0   , 0.7813   ,               37.3   ,                  2681   ,
2021-03-31 14:57:49 ,          26.0   ,            167.0   ,          33.0   ,               33.0   ,                          33.0   ,                  37.0   ,                   32.0   ,                   32.0   ,                   36.0   ,              26   ,                   0   ,          0   ,                        221   ,                       69   ,                   5.0   , 0.7813   ,               35.8   ,                  2683   ,
2021-03-31 14:57:50 ,          26.0   ,            167.0   ,          33.0   ,               33.0   ,                          33.0   ,                  37.0   ,                   32.0   ,                   32.0   ,                   36.0   ,              26   ,                   0   ,          0   ,                        221   ,                       69   ,                   5.0   , 0.7813   ,               34.3   ,                  2683   ,
2021-03-31 14:57:51 ,          26.0   ,            167.0   ,          33.0   ,               33.0   ,                          33.0   ,                  36.0   ,                   32.0   ,                   32.0   ,                   36.0   ,              26   ,                   0   ,          0   ,                        221   ,                       69   ,                   5.0   , 0.7813   ,               32.8   ,                  2682   ,
2021-03-31 14:57:52 ,          26.0   ,            167.0   ,          33.0   ,               33.0   ,                          33.0   ,                  37.0   ,                   32.0   ,                   32.0   ,                   36.0   ,              26   ,                   0   ,          0   ,                        221   ,                       69   ,                   4.0   , 0.7813   ,               31.9   ,                  2683   ,
2021-03-31 14:57:53 ,          26.0   ,            167.0   ,          33.0   ,               33.0   ,                          32.0   ,                  36.0   ,                   32.0   ,                   32.0   ,                   36.0   ,              26   ,                   0   ,          0   ,                        221   ,                       69   ,                   4.0   , 0.7813   ,               31.4   ,                  2683   ,
2021-03-31 14:57:54 ,          26.0   ,            167.0   ,          33.0   ,               33.0   ,                          33.0   ,                  36.0   ,                   32.0   ,                   32.0   ,                   36.0   ,              26   ,                   0   ,          0   ,                        221   ,                       69   ,                   5.0   , 0.7813   ,               31.3   ,                  2682   ,
